side,execution_policy,notional,latency_profile,fee_profile,net_edge_bps,normal_latency_required_for_yes,status
SHORT,MAKER_TAKER_V1,500,STRESSED,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,MAKER_TAKER_V1,1000,FAST,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,MAKER_TAKER_V1,1000,NORMAL,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,MAKER_TAKER_V1,1000,STRESSED,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,TAKER_MAKER_V1,100,FAST,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,TAKER_MAKER_V1,100,NORMAL,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,TAKER_MAKER_V1,100,STRESSED,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,TAKER_MAKER_V1,500,FAST,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,TAKER_MAKER_V1,500,NORMAL,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,TAKER_MAKER_V1,500,STRESSED,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,TAKER_MAKER_V1,1000,FAST,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,TAKER_MAKER_V1,1000,NORMAL,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,TAKER_MAKER_V1,1000,STRESSED,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,MAKER_MAKER_V1,100,FAST,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,MAKER_MAKER_V1,100,NORMAL,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,MAKER_MAKER_V1,100,STRESSED,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,MAKER_MAKER_V1,500,FAST,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,MAKER_MAKER_V1,500,NORMAL,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,MAKER_MAKER_V1,500,STRESSED,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,MAKER_MAKER_V1,1000,FAST,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,MAKER_MAKER_V1,1000,NORMAL,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
SHORT,MAKER_MAKER_V1,1000,STRESSED,RESEARCH_FEE_PROFILE_V1,,True,MORE_DATA_REQUIRED
