market,mode,variant_id,period,scenario,stage_order,stage,count
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,10,exit_condition,5
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,11,closed_trade,5
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,1,daily_candles,730
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2,warmup_complete,531
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,284
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,4,donchian_breakout,9
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,5,signal,9
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,6,risk_sizing,9
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,7,risk_approved,9
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,8,execution,9
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,9,position,9
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,10,exit_condition,8
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,11,closed_trade,9
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,1,daily_candles,730
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,2,warmup_complete,531
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,284
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,4,donchian_breakout,10
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,5,signal,10
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,6,risk_sizing,10
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,7,risk_approved,10
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,8,execution,10
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,9,position,10
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,10,exit_condition,9
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,11,closed_trade,10
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,1,daily_candles,730
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,2,warmup_complete,531
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,284
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,4,donchian_breakout,9
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,5,signal,9
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,6,risk_sizing,9
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,7,risk_approved,9
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,8,execution,9
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,9,position,9
