configuration,design,fold,mode,train_start,train_end,validation_start,validation_end,train_days,validation_days,step_days,period,start,end,attribution_policy,net_return_percent,gross_return_percent,net_pnl,gross_pnl,trades,long_trades,short_trades,win_rate_percent,profit_factor,expectancy,median_trade_pnl,maximum_drawdown_percent,exposure_long_percent,exposure_short_percent,trading_fees,funding_paid,funding_received,net_funding,liquidations,positive,zero_trade,signal_count,stop_count,target_count,time_exit_count,forced_end_count,regime_distribution,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning,fixed_parameters,selection_performed,fold_count,median_return_percent,mean_return_percent,positive_fold_percent,zero_trade_fold_percent
FUTURES_LONG_BASELINE_1X,ROLLING_365_90_90,11,ROLLING,2024-06-19T00:00:00+00:00,2025-06-18T23:59:59.999999+00:00,2025-06-19T00:00:00+00:00,2025-09-16T23:59:59.999999+00:00,365,90,90,ROLLING_365_90_90-11,2025-06-19T00:00:00+00:00,2025-09-16T23:59:59.999999+00:00,TRADE_EXIT_TIME,1.637379212403073280935760734,1.837088597631771985714285717,163.7379212403073280935760734,183.7088597631771985714285717,5,5,0,60.0,2.084165849034264510876679784,32.74758424806146561871521468,88.58726516047823525466904312,0.8390167164832019490588981808,12.36111111111111111111111111,0,12.73032824764241461928571428,7.240610275227455858566784,0,-7.240610275227455858566784,0,True,False,5,2,3,0,0,"{""RANGING"": 2060, ""TRENDING_DOWN"": 15, ""TRENDING_UP"": 85}",36.32731360557132700853011439,100,100,49.3924133472350927667689304,-151.0266361794730118597714287,-151.0266361794730118597714287,RESULT_DEPENDS_ON_FEW_TRADES,True,False,,,,,
FUTURES_LONG_BASELINE_1X,ROLLING_365_90_90,12,ROLLING,2024-09-17T00:00:00+00:00,2025-09-16T23:59:59.999999+00:00,2025-09-17T00:00:00+00:00,2025-12-15T23:59:59.999999+00:00,365,90,90,ROLLING_365_90_90-12,2025-09-17T00:00:00+00:00,2025-12-15T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.7662804900703131411428571440,-0.7363527485935021714285714297,-76.62804900703131411428571440,-73.63527485935021714285714297,1,1,0,0,0E+26,-76.62804900703131411428571440,-76.62804900703131411428571440,0.7662804900703131411428571400,0.7870370370370370370370370370,0,2.496444001534497651428571428,0.496330146146599320000000,0,-0.496330146146599320000000,0,False,False,1,1,0,0,0,"{""RANGING"": 2101, ""TRENDING_DOWN"": 53, ""TRENDING_UP"": 6}",0,0,0,-76.62804900703131411428571440,-76.62804900703131411428571440,-76.62804900703131411428571440,,True,False,,,,,
FUTURES_LONG_BASELINE_1X,EXPANDING_365_90_90,1,EXPANDING,2022-01-01T00:00:00+00:00,2022-12-31T23:59:59.999999+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:59:59.999999+00:00,365,90,90,EXPANDING_365_90_90-1,2023-01-01T00:00:00+00:00,2023-03-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.2109417208151122509157571444,-0.1286117669483768714285714300,-21.09417208151122509157571444,-12.86117669483768714285714300,3,3,0,33.33333333333333333333333333,0.8373565819367581635773017048,-7.031390693837075030525238147,-64.59068567828734681714285755,0.6481985959760299357792323310,1.2500,0,7.252399870161249776428571428,0.980595516512288172290000,0,-0.980595516512288172290000,0,False,False,3,2,1,0,0,"{""RANGING"": 2128, ""TRENDING_DOWN"": 7, ""TRENDING_UP"": 25}",100,100,100,-129.6958237394459025814285722,-129.6958237394459025814285722,-129.6958237394459025814285722,,True,False,,,,,
FUTURES_LONG_BASELINE_1X,EXPANDING_365_90_90,2,EXPANDING,2022-01-01T00:00:00+00:00,2023-03-31T23:59:59.999999+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:59:59.999999+00:00,365,90,90,EXPANDING_365_90_90-2,2023-04-01T00:00:00+00:00,2023-06-29T23:59:59.999999+00:00,TRADE_EXIT_TIME,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,False,True,0,0,0,0,0,"{""RANGING"": 2154, ""TRENDING_UP"": 6}",0,0,0,0,0,0,,True,False,,,,,
FUTURES_LONG_BASELINE_1X,EXPANDING_365_90_90,3,EXPANDING,2022-01-01T00:00:00+00:00,2023-06-29T23:59:59.999999+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:59:59.999999+00:00,365,90,90,EXPANDING_365_90_90-3,2023-06-30T00:00:00+00:00,2023-09-27T23:59:59.999999+00:00,TRADE_EXIT_TIME,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,False,True,0,0,0,0,0,"{""RANGING"": 2155, ""TRENDING_DOWN"": 5}",0,0,0,0,0,0,,True,False,,,,,
FUTURES_LONG_BASELINE_1X,EXPANDING_365_90_90,4,EXPANDING,2022-01-01T00:00:00+00:00,2023-09-27T23:59:59.999999+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:59:59.999999+00:00,365,90,90,EXPANDING_365_90_90-4,2023-09-28T00:00:00+00:00,2023-12-26T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.6972704836279782051857142895,-0.6734466910625483428571428609,-69.72704836279782051857142895,-67.34466910625483428571428609,1,1,0,0,0E+26,-69.72704836279782051857142895,-69.72704836279782051857142895,0.6972704836279782051857142900,0.04629629629629629629629629630,0,2.382379256542986232857142857,0,0,0,0,False,False,1,1,0,0,0,"{""RANGING"": 2146, ""TRENDING_UP"": 14}",0,0,0,-69.72704836279782051857142895,-69.72704836279782051857142895,-69.72704836279782051857142895,,True,False,,,,,
FUTURES_LONG_BASELINE_1X,EXPANDING_365_90_90,5,EXPANDING,2022-01-01T00:00:00+00:00,2023-12-26T23:59:59.999999+00:00,2023-12-27T00:00:00+00:00,2024-03-25T23:59:59.999999+00:00,365,90,90,EXPANDING_365_90_90-5,2023-12-27T00:00:00+00:00,2024-03-25T23:59:59.999999+00:00,TRADE_EXIT_TIME,-1.006607958786138267814285716,-0.9741154444062494571428571441,-100.6607958786138267814285716,-97.41154444062494571428571441,1,1,0,0,0E+25,-100.6607958786138267814285716,-100.6607958786138267814285716,1.006607958786138267814285720,2.129629629629629629629629630,0,2.142598597262476067142857143,1.106652840726405000000000,0,-1.106652840726405000000000,0,False,False,1,1,0,0,0,"{""RANGING"": 2125, ""TRENDING_DOWN"": 24, ""TRENDING_UP"": 11}",0,0,0,-100.6607958786138267814285716,-100.6607958786138267814285716,-100.6607958786138267814285716,,True,False,,,,,
FUTURES_LONG_BASELINE_1X,EXPANDING_365_90_90,6,EXPANDING,2022-01-01T00:00:00+00:00,2024-03-25T23:59:59.999999+00:00,2024-03-26T00:00:00+00:00,2024-06-23T23:59:59.999999+00:00,365,90,90,EXPANDING_365_90_90-6,2024-03-26T00:00:00+00:00,2024-06-23T23:59:59.999999+00:00,TRADE_EXIT_TIME,1.782597641695825112572548019,1.831055414506106285714285712,178.2597641695825112572548019,183.1055414506106285714285712,1,1,0,100,,178.2597641695825112572548019,178.2597641695825112572548019,0,2.777777777777777777777777778,0,2.464726215998937764285714286,2.381051065029179549888055,0,-2.381051065029179549888055,0,True,False,1,0,1,0,0,"{""RANGING"": 2108, ""TRENDING_DOWN"": 25, ""TRENDING_UP"": 27}",100,100,100,0E-25,0E-25,0E-25,RESULT_DEPENDS_ON_FEW_TRADES,True,False,,,,,
FUTURES_LONG_BASELINE_1X,EXPANDING_365_90_90,7,EXPANDING,2022-01-01T00:00:00+00:00,2024-06-23T23:59:59.999999+00:00,2024-06-24T00:00:00+00:00,2024-09-21T23:59:59.999999+00:00,365,90,90,EXPANDING_365_90_90-7,2024-06-24T00:00:00+00:00,2024-09-21T23:59:59.999999+00:00,TRADE_EXIT_TIME,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,False,True,0,0,0,0,0,"{""HIGH_VOLATILITY"": 6, ""RANGING"": 2112, ""TRENDING_DOWN"": 42}",0,0,0,0,0,0,,True,False,,,,,
FUTURES_LONG_BASELINE_1X,EXPANDING_365_90_90,8,EXPANDING,2022-01-01T00:00:00+00:00,2024-09-21T23:59:59.999999+00:00,2024-09-22T00:00:00+00:00,2024-12-20T23:59:59.999999+00:00,365,90,90,EXPANDING_365_90_90-8,2024-09-22T00:00:00+00:00,2024-12-20T23:59:59.999999+00:00,TRADE_EXIT_TIME,0.6522716555855030040314154323,0.7239057492466301857142857152,65.22716555855030040314154323,72.39057492466301857142857152,2,2,0,50.0,2.101298153840610006168918622,32.61358277927515020157077162,32.61358277927515020157077162,0.5849947307993611015095269271,2.592592592592592592592592593,0,4.903348063222068819285714286,2.260061302890649349001314,0,-2.260061302890649349001314,0,True,False,2,1,1,0,0,"{""RANGING"": 2088, ""TRENDING_DOWN"": 30, ""TRENDING_UP"": 42}",100,100,100,-59.22752647053885416928696697,-59.22752647053885416928696697,-59.22752647053885416928696697,RESULT_DEPENDS_ON_FEW_TRADES,True,False,,,,,
FUTURES_LONG_BASELINE_1X,EXPANDING_365_90_90,9,EXPANDING,2022-01-01T00:00:00+00:00,2024-12-20T23:59:59.999999+00:00,2024-12-21T00:00:00+00:00,2025-03-20T23:59:59.999999+00:00,365,90,90,EXPANDING_365_90_90-9,2024-12-21T00:00:00+00:00,2025-03-20T23:59:59.999999+00:00,TRADE_EXIT_TIME,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,False,True,0,0,0,0,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 2081, ""TRENDING_DOWN"": 61, ""TRENDING_UP"": 5}",0,0,0,0,0,0,,True,False,,,,,
FUTURES_LONG_BASELINE_1X,EXPANDING_365_90_90,10,EXPANDING,2022-01-01T00:00:00+00:00,2025-03-20T23:59:59.999999+00:00,2025-03-21T00:00:00+00:00,2025-06-18T23:59:59.999999+00:00,365,90,90,EXPANDING_365_90_90-10,2025-03-21T00:00:00+00:00,2025-06-18T23:59:59.999999+00:00,TRADE_EXIT_TIME,2.320032274459072870380630684,2.505901956373419700000000004,232.0032274459072870380630684,250.5901956373419700000000004,6,6,0,50.0,1.856687123366947981017933399,38.6672045743178811730105114,30.63563713114505874327002540,1.702177039578931974717501583,5.833333333333333333333333333,0,14.72501313767002775500000000,3.861955053764655206936932,0,-3.861955053764655206936932,0,True,False,6,3,3,0,0,"{""RANGING"": 2062, ""TRENDING_DOWN"": 30, ""TRENDING_UP"": 68}",37.69039335547817855209895446,100,100,42.4892778185083365137773539,-270.8144211787486876419186873,-270.8144211787486876419186873,RESULT_DEPENDS_ON_FEW_TRADES,True,False,,,,,
FUTURES_LONG_BASELINE_1X,EXPANDING_365_90_90,11,EXPANDING,2022-01-01T00:00:00+00:00,2025-06-18T23:59:59.999999+00:00,2025-06-19T00:00:00+00:00,2025-09-16T23:59:59.999999+00:00,365,90,90,EXPANDING_365_90_90-11,2025-06-19T00:00:00+00:00,2025-09-16T23:59:59.999999+00:00,TRADE_EXIT_TIME,1.637379212403073280935760734,1.837088597631771985714285717,163.7379212403073280935760734,183.7088597631771985714285717,5,5,0,60.0,2.084165849034264510876679784,32.74758424806146561871521468,88.58726516047823525466904312,0.8390167164832019490588981808,12.36111111111111111111111111,0,12.73032824764241461928571428,7.240610275227455858566784,0,-7.240610275227455858566784,0,True,False,5,2,3,0,0,"{""RANGING"": 2060, ""TRENDING_DOWN"": 15, ""TRENDING_UP"": 85}",36.32731360557132700853011439,100,100,49.3924133472350927667689304,-151.0266361794730118597714287,-151.0266361794730118597714287,RESULT_DEPENDS_ON_FEW_TRADES,True,False,,,,,
FUTURES_LONG_BASELINE_1X,EXPANDING_365_90_90,12,EXPANDING,2022-01-01T00:00:00+00:00,2025-09-16T23:59:59.999999+00:00,2025-09-17T00:00:00+00:00,2025-12-15T23:59:59.999999+00:00,365,90,90,EXPANDING_365_90_90-12,2025-09-17T00:00:00+00:00,2025-12-15T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.7662804900703131411428571440,-0.7363527485935021714285714297,-76.62804900703131411428571440,-73.63527485935021714285714297,1,1,0,0,0E+26,-76.62804900703131411428571440,-76.62804900703131411428571440,0.7662804900703131411428571400,0.7870370370370370370370370370,0,2.496444001534497651428571428,0.496330146146599320000000,0,-0.496330146146599320000000,0,False,False,1,1,0,0,0,"{""RANGING"": 2101, ""TRENDING_DOWN"": 53, ""TRENDING_UP"": 6}",0,0,0,-76.62804900703131411428571440,-76.62804900703131411428571440,-76.62804900703131411428571440,,True,False,,,,,
FUTURES_LONG_BASELINE_1X,ROLLING_730_90_90,1,ROLLING,2022-01-01T00:00:00+00:00,2023-12-31T23:59:59.999999+00:00,2024-01-01T00:00:00+00:00,2024-03-30T23:59:59.999999+00:00,730,90,90,ROLLING_730_90_90-1,2024-01-01T00:00:00+00:00,2024-03-30T23:59:59.999999+00:00,TRADE_EXIT_TIME,-1.006607958786138267814285716,-0.9741154444062494571428571441,-100.6607958786138267814285716,-97.41154444062494571428571441,1,1,0,0,0E+25,-100.6607958786138267814285716,-100.6607958786138267814285716,1.006607958786138267814285720,2.129629629629629629629629630,0,2.142598597262476067142857143,1.106652840726405000000000,0,-1.106652840726405000000000,0,False,False,1,1,0,0,0,"{""RANGING"": 2125, ""TRENDING_DOWN"": 24, ""TRENDING_UP"": 11}",0,0,0,-100.6607958786138267814285716,-100.6607958786138267814285716,-100.6607958786138267814285716,,True,False,,,,,
FUTURES_LONG_BASELINE_1X,ROLLING_730_90_90,2,ROLLING,2022-04-01T00:00:00+00:00,2024-03-30T23:59:59.999999+00:00,2024-03-31T00:00:00+00:00,2024-06-28T23:59:59.999999+00:00,730,90,90,ROLLING_730_90_90-2,2024-03-31T00:00:00+00:00,2024-06-28T23:59:59.999999+00:00,TRADE_EXIT_TIME,1.782597641695825112572548019,1.831055414506106285714285712,178.2597641695825112572548019,183.1055414506106285714285712,1,1,0,100,,178.2597641695825112572548019,178.2597641695825112572548019,0,2.777777777777777777777777778,0,2.464726215998937764285714286,2.381051065029179549888055,0,-2.381051065029179549888055,0,True,False,1,0,1,0,0,"{""RANGING"": 2108, ""TRENDING_DOWN"": 25, ""TRENDING_UP"": 27}",100,100,100,0E-25,0E-25,0E-25,RESULT_DEPENDS_ON_FEW_TRADES,True,False,,,,,
FUTURES_LONG_BASELINE_1X,ROLLING_730_90_90,3,ROLLING,2022-06-30T00:00:00+00:00,2024-06-28T23:59:59.999999+00:00,2024-06-29T00:00:00+00:00,2024-09-26T23:59:59.999999+00:00,730,90,90,ROLLING_730_90_90-3,2024-06-29T00:00:00+00:00,2024-09-26T23:59:59.999999+00:00,TRADE_EXIT_TIME,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,False,True,0,0,0,0,0,"{""HIGH_VOLATILITY"": 6, ""RANGING"": 2112, ""TRENDING_DOWN"": 42}",0,0,0,0,0,0,,True,False,,,,,
FUTURES_LONG_BASELINE_1X,ROLLING_730_90_90,4,ROLLING,2022-09-28T00:00:00+00:00,2024-09-26T23:59:59.999999+00:00,2024-09-27T00:00:00+00:00,2024-12-25T23:59:59.999999+00:00,730,90,90,ROLLING_730_90_90-4,2024-09-27T00:00:00+00:00,2024-12-25T23:59:59.999999+00:00,TRADE_EXIT_TIME,0.6522716555855030040314154323,0.7239057492466301857142857152,65.22716555855030040314154323,72.39057492466301857142857152,2,2,0,50.0,2.101298153840610006168918622,32.61358277927515020157077162,32.61358277927515020157077162,0.5849947307993611015095269271,2.592592592592592592592592593,0,4.903348063222068819285714286,2.260061302890649349001314,0,-2.260061302890649349001314,0,True,False,2,1,1,0,0,"{""RANGING"": 2088, ""TRENDING_DOWN"": 30, ""TRENDING_UP"": 42}",100,100,100,-59.22752647053885416928696697,-59.22752647053885416928696697,-59.22752647053885416928696697,RESULT_DEPENDS_ON_FEW_TRADES,True,False,,,,,
FUTURES_LONG_BASELINE_1X,ROLLING_730_90_90,5,ROLLING,2022-12-27T00:00:00+00:00,2024-12-25T23:59:59.999999+00:00,2024-12-26T00:00:00+00:00,2025-03-25T23:59:59.999999+00:00,730,90,90,ROLLING_730_90_90-5,2024-12-26T00:00:00+00:00,2025-03-25T23:59:59.999999+00:00,TRADE_EXIT_TIME,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,False,True,0,0,0,0,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 2081, ""TRENDING_DOWN"": 61, ""TRENDING_UP"": 5}",0,0,0,0,0,0,,True,False,,,,,
FUTURES_LONG_BASELINE_1X,ROLLING_730_90_90,6,ROLLING,2023-03-27T00:00:00+00:00,2025-03-25T23:59:59.999999+00:00,2025-03-26T00:00:00+00:00,2025-06-23T23:59:59.999999+00:00,730,90,90,ROLLING_730_90_90-6,2025-03-26T00:00:00+00:00,2025-06-23T23:59:59.999999+00:00,TRADE_EXIT_TIME,2.320032274459072870380630684,2.505901956373419700000000004,232.0032274459072870380630684,250.5901956373419700000000004,6,6,0,50.0,1.856687123366947981017933399,38.6672045743178811730105114,30.63563713114505874327002540,1.702177039578931974717501583,5.833333333333333333333333333,0,14.72501313767002775500000000,3.861955053764655206936932,0,-3.861955053764655206936932,0,True,False,6,3,3,0,0,"{""RANGING"": 2047, ""TRENDING_DOWN"": 45, ""TRENDING_UP"": 68}",37.69039335547817855209895446,100,100,42.4892778185083365137773539,-270.8144211787486876419186873,-270.8144211787486876419186873,RESULT_DEPENDS_ON_FEW_TRADES,True,False,,,,,
FUTURES_LONG_BASELINE_1X,ROLLING_730_90_90,7,ROLLING,2023-06-25T00:00:00+00:00,2025-06-23T23:59:59.999999+00:00,2025-06-24T00:00:00+00:00,2025-09-21T23:59:59.999999+00:00,730,90,90,ROLLING_730_90_90-7,2025-06-24T00:00:00+00:00,2025-09-21T23:59:59.999999+00:00,TRADE_EXIT_TIME,1.637379212403073280935760734,1.837088597631771985714285717,163.7379212403073280935760734,183.7088597631771985714285717,5,5,0,60.0,2.084165849034264510876679784,32.74758424806146561871521468,88.58726516047823525466904312,0.8390167164832019490588981808,12.36111111111111111111111111,0,12.73032824764241461928571428,7.240610275227455858566784,0,-7.240610275227455858566784,0,True,False,5,2,3,0,0,"{""RANGING"": 2075, ""TRENDING_UP"": 85}",36.32731360557132700853011439,100,100,49.3924133472350927667689304,-151.0266361794730118597714287,-151.0266361794730118597714287,RESULT_DEPENDS_ON_FEW_TRADES,True,False,,,,,
FUTURES_LONG_BASELINE_1X,ROLLING_730_90_90,8,ROLLING,2023-09-23T00:00:00+00:00,2025-09-21T23:59:59.999999+00:00,2025-09-22T00:00:00+00:00,2025-12-20T23:59:59.999999+00:00,730,90,90,ROLLING_730_90_90-8,2025-09-22T00:00:00+00:00,2025-12-20T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.7662804900703131411428571440,-0.7363527485935021714285714297,-76.62804900703131411428571440,-73.63527485935021714285714297,1,1,0,0,0E+26,-76.62804900703131411428571440,-76.62804900703131411428571440,0.7662804900703131411428571400,0.7870370370370370370370370370,0,2.496444001534497651428571428,0.496330146146599320000000,0,-0.496330146146599320000000,0,False,False,1,1,0,0,0,"{""RANGING"": 2101, ""TRENDING_DOWN"": 53, ""TRENDING_UP"": 6}",0,0,0,-76.62804900703131411428571440,-76.62804900703131411428571440,-76.62804900703131411428571440,,True,False,,,,,
